time,sample,type,sub,channel,num,aux
0.756,189,N,0,0,0,
1.656,414,N,0,0,0,
2.52,630,N,0,0,0,
3.34,835,N,0,0,0,
4.156,1039,N,0,0,0,
4.996,1249,N,0,0,0,
5.848,1462,N,0,0,0,
6.736,1684,N,0,0,0,
7.732,1933,N,0,0,0,
8.752,2188,N,0,0,0,
9.704,2426,N,0,0,0,
10.648,2662,N,0,0,0,
11.612,2903,N,0,0,0,
12.564,3141,N,0,0,0,
13.476,3369,N,0,0,0,
14.392,3598,N,0,0,0,
15.344,3836,N,0,0,0,
16.272,4068,N,0,0,0,
17.152,4288,N,0,0,0,
18.028,4507,N,0,0,0,
18.944,4736,N,0,0,0,
19.852,4963,N,0,0,0,
20.712,5178,N,0,0,0,
21.592,5398,N,0,0,0,
22.456,5614,N,0,0,0,
23.308,5827,N,0,0,0,
24.156,6039,N,0,0,0,
24.968,6242,N,0,0,0,
25.76,6440,N,0,0,0,
26.54,6635,N,0,0,0,
27.304,6826,N,0,0,0,
28.048,7012,N,0,0,0,
28.796,7199,N,0,0,0,
29.54,7385,N,0,0,0,
30.284,7571,N,0,0,0,
31.016,7754,N,0,0,0,
31.768,7942,N,0,0,0,
32.532,8133,N,0,0,0,
33.316,8329,N,0,0,0,
34.092,8523,N,0,0,0,
34.84,8710,N,0,0,0,
35.576,8894,N,0,0,0,
36.32,9080,N,0,0,0,
37.056,9264,N,0,0,0,
37.808,9452,N,0,0,0,
38.572,9643,N,0,0,0,
39.34,9835,N,0,0,0,
40.152,10038,N,0,0,0,
40.984,10246,N,0,0,0,
41.852,10463,N,0,0,0,
42.688,10672,N,0,0,0,
43.528,10882,N,0,0,0,
44.348,11087,N,0,0,0,
45.16,11290,N,0,0,0,
45.992,11498,N,0,0,0,
46.844,11711,N,0,0,0,
47.728,11932,N,0,0,0,
48.632,12158,N,0,0,0,
49.576,12394,N,0,0,0,
50.532,12633,N,0,0,0,
51.44,12860,N,0,0,0,
52.316,13079,N,0,0,0,
53.22,13305,N,0,0,0,
54.184,13546,N,0,0,0,
55.168,13792,N,0,0,0,
56.14,14035,N,0,0,0,
57.084,14271,N,0,0,0,
58.008,14502,N,0,0,0,
58.928,14732,N,0,0,0,
59.86,14965,N,0,0,0,
60.796,15199,N,0,0,0,
61.724,15431,N,0,0,0,
62.652,15663,N,0,0,0,
63.616,15904,N,0,0,0,
64.644,16161,N,0,0,0,
65.684,16421,N,0,0,0,
66.704,16676,N,0,0,0,
67.66,16915,N,0,0,0,
68.56,17140,N,0,0,0,
69.452,17363,N,0,0,0,
70.352,17588,N,0,0,0,
71.316,17829,N,0,0,0,
72.332,18083,N,0,0,0,
73.368,18342,N,0,0,0,
74.416,18604,N,0,0,0,
75.436,18859,N,0,0,0,
76.44,19110,N,0,0,0,
77.408,19352,N,0,0,0,
78.332,19583,N,0,0,0,
79.24,19810,N,0,0,0,
80.152,20038,N,0,0,0,
81.112,20278,N,0,0,0,
82.132,20533,N,0,0,0,
83.168,20792,N,0,0,0,
84.2,21050,N,0,0,0,
85.196,21299,N,0,0,0,
86.16,21540,N,0,0,0,
87.096,21774,N,0,0,0,
88.024,22006,N,0,0,0,
88.944,22236,N,0,0,0,
89.872,22468,N,0,0,0,
90.864,22716,N,0,0,0,
91.88,22970,N,0,0,0,
92.904,23226,N,0,0,0,
93.924,23481,N,0,0,0,
94.904,23726,N,0,0,0,
95.78,23945,N,0,0,0,
96.632,24158,N,0,0,0,
97.52,24380,N,0,0,0,
98.42,24605,N,0,0,0,
99.356,24839,N,0,0,0,
100.344,25086,N,0,0,0,
101.356,25339,N,0,0,0,
102.388,25597,N,0,0,0,
103.408,25852,N,0,0,0,
104.388,26097,N,0,0,0,
105.332,26333,N,0,0,0,
106.256,26564,N,0,0,0,
107.152,26788,N,0,0,0,
108.06,27015,N,0,0,0,
108.988,27247,N,0,0,0,
109.952,27488,N,0,0,0,
110.964,27741,N,0,0,0,
111.992,27998,N,0,0,0,
112.992,28248,N,0,0,0,
113.968,28492,N,0,0,0,
114.916,28729,N,0,0,0,
115.836,28959,N,0,0,0,
116.768,29192,N,0,0,0,
117.708,29427,N,0,0,0,
118.632,29658,N,0,0,0,
119.564,29891,N,0,0,0,
120.484,30121,N,0,0,0,
